BirdID,Date,Age,Sex,Nest,Treatment,LDIP,LBeakHue,LBeakSaturation,LBeakValue,LBeakArea,RDIP,RBeakHue,RBeakSaturation,RBeakValue,RBeakArea,RCheekHue,RCheekSaturation,RCheekValue,RCheekArea,LCheekHue,LCheekSaturation,LCheekValue,LCheekArea,BeakHueAsymmetry,BeakHueAsymmetry1,BeakSaturationAsymmetry,BeakSaturationAsymmetry1,BeakValueAsymmetry,BeakValueAsymmetry1,BeakAreaAsymmetry,BeakAreaAsymmetry1,CheekHueAsymmetry,CheekHueAsymmetry1,CheekSaturationAsymmetry,CheekSaturationAsymmetry1,CheekValueAsymmetry,CheekValueAsymmetry1,CheekAreaAsymmetry,CheekAreaAsymmetry1,ColorWheelHue,ColorWheelSaturation,ColorWheelValue
4019,4/13/2021,45,M,4,C,1344,28,71,73,0.136,1359,26,67,69,0.277,,,,0,,,,0,-2,2,-4,4,-4,4,0.141,0.141,,,,,,,,,,,
4019,4/28/2021,60,M,4,C,1430,23,73,80,0.402,1436,24,60,85,0.242,36,65,67,0.364,36,66,65,0.53,1,1,-13,13,5,5,-0.16,0.16,0,0,-1,1,2,2,-0.166,0.166,,,
4019,5/13/2021,75,M,4,C,1362,14,88,68,0.334,1362,16,82,69,0.335,26,91,45,0.517,28,88,49,0.903,2,2,-6,6,1,1,0.001,0.001,-2,2,3,3,-4,4,-0.386,0.386,40,95,81
4019,5/28/2021,90,M,4,C,1386,12,80,72,0.212,1389,12,70,73,0.301,26,84,50,0.703,26,84,49,0.719,0,0,-10,10,1,1,0.089,0.089,0,0,0,0,1,1,-0.016,0.016,40,94,88
4019,6/27/2021,120,M,4,C,1392,8,81,65,0.332,1392,6,81,60,0.342,26,86,46,0.715,28,88,51,0.88,-2,2,0,0,-5,5,0.01,0.01,-2,2,-2,2,-5,5,-0.165,0.165,39,92,87
4020,4/13/2021,45,M,4,C,1353,22,79,60,0.217,1356,20,80,58,0.214,,,,0,26,59,42,0.005,-2,2,1,1,-2,2,-0.003,0.003,-26,26,-59,59,-42,42,-0.005,0.005,,,
4020,4/28/2021,60,M,4,C,1433,16,77,69,0.2,1431,14,83,63,0.309,30,73,53,0.408,34,68,58,0.396,-2,2,6,6,-6,6,0.109,0.109,-4,4,5,5,-5,5,0.012,0.012,,,
4020,5/13/2021,75,M,4,C,1359,12,84,65,0.361,1356,12,87,64,0.302,26,90,47,0.595,28,87,51,0.626,0,0,3,3,-1,1,-0.059,0.059,-2,2,3,3,-4,4,-0.031,0.031,38,94,81
4020,5/28/2021,90,M,4,C,1386,10,74,72,0.352,1359,8,81,63,0.372,26,83,52,0.795,28,79,54,0.952,-2,2,7,7,-9,9,0.02,0.02,-2,2,4,4,-2,2,-0.157,0.157,42,94,86
4020,6/27/2021,120,M,4,C,1389,8,77,62,0.362,1392,6,78,60,0.301,26,87,44,0.548,24,87,32,0.775,-2,2,1,1,-2,2,-0.061,0.061,2,2,0,0,12,12,-0.227,0.227,39,94,79
4037,7/29/2021,45,M,8.2,C,1344,32,61,73,0.147,1349,24,70,53,0.182,,,,0,28,39,45,0.037,-8,8,9,9,-20,20,0.035,0.035,-28,28,-39,39,-45,45,-0.037,0.037,42,94,89
4037,8/13/2021,60,M,8.2,C,1382,24,76,69,0.309,1384,24,65,67,0.197,28,73,52,0.517,30,80,52,0.675,0,0,-11,11,-2,2,-0.112,0.112,-2,2,-7,7,0,0,-0.158,0.158,40,94,84
4037,8/28/2021,75,M,8.2,C,1358,26,71,85,0.31,1361,20,79,74,0.342,32,78,62,0.564,32,78,67,0.686,-6,6,8,8,-11,11,0.032,0.032,0,0,0,0,-5,5,-0.122,0.122,42,93,96
4037,9/13/2021,90,M,8.2,C,1401,18,80,77,0.302,1398,14,77,68,0.504,30,87,56,0.797,30,86,58,0.781,-4,4,-3,3,-9,9,0.202,0.202,0,0,1,1,-2,2,0.016,0.016,41,94,89
4037,10/12/2021,120,M,8.2,C,1338,16,81,84,0.251,1326,12,77,73,0.408,34,78,69,0.789,30,85,62,0.652,-4,4,-4,4,-11,11,0.157,0.157,4,4,-7,7,7,7,0.137,0.137,42,94,97
4038,7/30/2021,45,M,8.2,C,1357,26,68,73,0.194,1379,22,78,62,0.239,,,,0,32,63,45,0.025,-4,4,10,10,-11,11,0.045,0.045,-32,32,-63,63,-45,45,-0.025,0.025,42,94,88
4038,8/14/2021,60,M,8.2,C,1369,22,75,76,0.453,1336,16,81,62,0.447,32,68,51,0.693,34,64,62,0.769,-6,6,6,6,-14,14,-0.006,0.006,-2,2,4,4,-11,11,-0.076,0.076,42,93,95
4038,8/29/2021,75,M,8.2,C,1391,19,79,75,0.194,1395,12,76,71,0.397,33,71,61,0.818,32,78,58,0.544,-7,7,-3,3,-4,4,0.203,0.203,1,1,-7,7,3,3,0.274,0.274,42,94,92
4038,9/13/2021,90,M,8.2,C,1392,12,74,73,0.504,1392,13,79,78,0.452,32,83,67,0.681,32,86,57,1.012,1,1,5,5,5,5,-0.052,0.052,0,0,-3,3,10,10,-0.331,0.331,42,94,86
4038,10/13/2021,120,M,8.2,C,1336,12,83,72,0.409,1316,12,75,73,0.329,32,88,61,0.733,32,89,58,0.943,0,0,-8,8,1,1,-0.08,0.08,0,0,-1,1,3,3,-0.21,0.21,41,94,88
4041,8/8/2021,45,M,1.2,C,1452,28,74,70,0.33,1477,24,69,63,0.094,32,42,52,0.065,34,49,53,0.09,-4,4,-5,5,-7,7,-0.236,0.236,-2,2,-7,7,-1,1,-0.025,0.025,42,94,89
4041,8/23/2021,60,M,1.2,C,1387,22,75,84,0.545,1387,22,69,81,0.308,32,69,60,0.49,36,74,65,0.92,0,0,-6,6,-3,3,-0.237,0.237,-4,4,-5,5,-5,5,-0.43,0.43,42,92,96
4041,9/7/2021,75,M,1.2,C,1380,16,87,80,0.489,1380,18,77,77,0.249,32,81,60,0.58,33,83,63,0.991,2,2,-10,10,-3,3,-0.24,0.24,-1,1,-2,2,-3,3,-0.411,0.411,42,93,95
4041,9/22/2021,90,M,1.2,C,1379,16,82,77,0.407,1387,13,82,70,0.392,34,85,61,0.804,32,87,59,0.86,-3,3,0,0,-7,7,-0.015,0.015,2,2,-2,2,2,2,-0.056,0.056,42,93,89
4041,10/22/2021,120,M,1.2,C,1404,14,79,82,0.397,1389,12,77,79,0.243,34,80,65,0.738,33,82,65,0.775,-2,2,-2,2,-3,3,-0.154,0.154,1,1,-2,2,0,0,-0.037,0.037,42,92,94
4042,8/8/2021,45,M,1.2,C,1479,34,72,68,0.23,1483,32,59,67,0.14,,,,0,,,,0,-2,2,-13,13,-1,1,-0.09,0.09,,,,,,,,,42,94,88
4042,8/23/2021,60,M,1.2,C,1389,30,76,85,0.313,1396,22,78,71,0.36,36,66,58,0.744,36,66,65,0.6,-8,8,2,2,-14,14,0.047,0.047,0,0,0,0,-7,7,0.144,0.144,42,91,96
4042,9/7/2021,75,M,1.2,C,1392,22,84,78,0.228,1392,14,85,66,0.36,31,84,57,0.734,32,82,59,0.752,-8,8,1,1,-12,12,0.132,0.132,-1,1,2,2,-2,2,-0.018,0.018,42,94,92
4042,9/22/2021,90,M,1.2,C,1370,18,81,78,0.282,1388,16,74,70,0.178,36,90,57,0.566,30,82,57,0.602,-2,2,-7,7,-8,8,-0.104,0.104,6,6,8,8,0,0,-0.036,0.036,42,94,91
4042,10/22/2021,120,M,1.2,C,1404,10,85,69,0.351,1407,12,77,78,0.402,32,80,66,0.836,28,91,51,0.67,2,2,-8,8,9,9,0.051,0.051,4,4,-11,11,15,15,0.166,0.166,40,94,85
4043,8/9/2022,45,M,1.2,C,1306,20,64,60,0.125,1285,22,62,61,0.101,,,,0,,,,0,2,2,-2,2,1,1,-0.024,0.024,,,,,,,,,40,93,90
4043,8/24/2022,60,M,1.2,C,1386,22,71,77,0.226,1392,22,62,76,0.332,34,67,64,0.615,34,70,59,0.538,0,0,-9,9,-1,1,0.106,0.106,0,0,-3,3,5,5,0.077,0.077,44,97,96
4043,9/8/2022,75,M,1.2,C,1164,20,77,80,0.324,1162,22,84,71,0.403,36,91,64,0.736,36,90,60,0.576,2,2,7,7,-9,9,0.079,0.079,0,0,1,1,4,4,0.16,0.16,46,100,96
4043,9/23/2021,90,M,1.2,C,1383,12,78,71,0.189,1384,10,63,72,0.295,28,88,54,0.686,25,86,51,0.648,-2,2,-15,15,1,1,0.106,0.106,3,3,2,2,3,3,0.038,0.038,42,94,87
4043,10/23/2021,120,M,1.2,C,1376,12,80,78,0.314,1378,12,69,78,0.283,30,88,58,0.715,29,90,60,0.763,0,0,-11,11,0,0,-0.031,0.031,1,1,-2,2,-2,2,-0.048,0.048,42,94,92
4048,9/29/2021,45,M,9,C,1368,32,48,70,0.173,1353,26,58,55,0.28,38,52,64,0.02,,,,0,-6,6,10,10,-15,15,0.107,0.107,,,,,,,,,42,95,92
4048,10/14/2021,60,M,9,C,1340,30,65,79,0.395,1348,26,67,75,0.302,36,62,65,0.309,34,67,55,0.087,-4,4,2,2,-4,4,-0.093,0.093,2,2,-5,5,10,10,0.222,0.222,42,94,91
4048,10/29/2021,75,M,9,C,1373,28,81,84,0.275,1369,25,77,78,0.404,37,70,69,0.619,34,73,59,0.525,-3,3,-4,4,-6,6,0.129,0.129,3,3,-3,3,10,10,0.094,0.094,42,93,91
4048,11/13/2021,90,M,9,C,1366,24,77,81,0.412,1368,22,73,74,0.376,32,83,58,0.46,33,83,62,0.652,-2,2,-4,4,-7,7,-0.036,0.036,-1,1,0,0,-4,4,-0.192,0.192,42,94,92
4048,12/13/2021,120,M,9,C,809,18,78,72,0.375,1339,15,75,68,0.41,32,83,59,0.689,28,86,52,0.607,-3,3,-3,3,-4,4,0.035,0.035,4,4,-3,3,7,7,0.082,0.082,42,93,84
4049,9/29/2021,45,M,9,C,1372,30,72,73,0.242,1366,28,73,65,0.311,,,,0,,,,0,-2,2,1,1,-8,8,0.069,0.069,,,,,,,,,42,97,93
4049,10/14/2021,60,M,9,C,1318,26,81,81,0.409,1350,26,66,82,0.2,32,74,62,0.405,32,78,60,0.533,0,0,-15,15,1,1,-0.209,0.209,0,0,-4,4,2,2,-0.128,0.128,42,92,93
4049,10/29/2021,75,M,9,C,1380,20,83,79,0.374,1368,18,80,80,0.394,30,82,55,0.686,28,89,52,0.668,-2,2,-3,3,1,1,0.02,0.02,2,2,-7,7,3,3,0.018,0.018,42,93,90
4049,11/13/2021,90,M,9,C,1362,16,83,78,0.294,1359,12,83,66,0.417,30,89,50,0.779,28,89,55,0.723,-4,4,0,0,-12,12,0.123,0.123,2,2,0,0,-5,5,0.056,0.056,42,94,92
4049,12/13/2021,120,M,9,C,816,16,79,74,0.353,1360,18,63,79,0.257,26,81,50,0.341,28,87,53,0.336,2,2,-16,16,5,5,-0.096,0.096,-2,2,-6,6,-3,3,0.005,0.005,41,94,86
4055,10/5/2021,45,M,3,FR,1361,32,54,69,0.321,1358,32,72,69,0.237,,,,0,,,,0,0,0,18,18,0,0,-0.084,0.084,,,,,,,,,42,93,95
4055,10/20/2021,60,M,3,FR,1375,28,52,88,0.432,1380,26,61,74,0.188,32,55,47,0.298,36,67,66,0.229,-2,2,9,9,-14,14,-0.244,0.244,-4,4,-12,12,-19,19,0.069,0.069,42,86,98
4055,11/4/2021,75,M,3,FR,1359,18,78,70,0.298,1360,24,71,78,0.239,34,72,58,0.702,30,81,52,0.798,6,6,-7,7,8,8,-0.059,0.059,4,4,-9,9,6,6,-0.096,0.096,39,91,91
4055,11/19/2021,90,M,3,FR,1377,20,79,79,0.383,1378,22,86,65,0.301,36,93,57,0.713,32,87,56,0.674,2,2,7,7,-14,14,-0.082,0.082,4,4,6,6,1,1,0.039,0.039,41,94,90
4055,12/19/2021,120,M,3,FR,1080,16,77,77,0.273,1350,16,77,71,0.268,30,86,58,0.717,26,87,49,0.52,0,0,0,0,-6,6,-0.005,0.005,4,4,-1,1,9,9,0.197,0.197,42,94,89
4057,10/7/2021,45,M,2.3,FR,1351,36,59,74,0.222,1361,34,52,68,0.152,,,,0,36,41,54,0.037,-2,2,-7,7,-6,6,-0.07,0.07,-36,36,-41,41,-54,54,-0.037,0.037,42,93,91
4057,10/22/2021,60,M,2.3,FR,1394,36,80,85,0.304,1382,32,76,75,0.187,34,72,58,0.449,36,65,64,0.41,-4,4,-4,4,-10,10,-0.117,0.117,-2,2,7,7,-6,6,0.039,0.039,42,92,94
4057,11/6/2021,75,M,2.3,FR,1363,30,84,85,0.334,1372,30,83,77,0.256,30,84,55,0.539,32,82,60,0.582,0,0,-1,1,-8,8,-0.078,0.078,-2,2,2,2,-5,5,-0.043,0.043,42,93,94
4057,11/21/2021,90,M,2.3,FR,1373,26,85,81,0.458,1369,26,77,78,0.255,32,84,57,0.444,35,84,64,0.884,0,0,-8,8,-3,3,-0.203,0.203,-3,3,0,0,-7,7,-0.44,0.44,42,94,91
4057,12/21/2021,120,M,2.3,FR,1356,20,77,81,0.316,1356,18,72,82,0.23,30,81,58,0.427,32,84,57,0.557,-2,2,-5,5,1,1,-0.086,0.086,-2,2,-3,3,1,1,-0.13,0.13,42,93,90
4059,10/25/2021,45,M,16,C,1382,34,68,73,0.227,1382,34,60,71,0.162,37,50,58,0.063,,,,0,0,0,-8,8,-2,2,-0.065,0.065,,,,,,,,,42,91,93
4059,11/9/2021,60,M,16,C,1369,26,82,76,0.311,1367,26,89,77,0.402,34,73,58,0.33,34,62,52,0.311,0,0,7,7,1,1,0.091,0.091,0,0,11,11,6,6,0.019,0.019,42,94,89
4059,11/28/2021,75,M,16,C,1224,22,87,78,0.339,1366,18,84,76,0.383,32,85,59,0.444,33,81,58,0.511,-4,4,-3,3,-2,2,0.044,0.044,-1,1,4,4,1,1,-0.067,0.067,42,93,87
4059,12/9/2021,90,M,16,C,1353,20,81,85,0.384,1359,18,82,74,0.183,34,77,65,0.54,32,83,65,0.748,-2,2,1,1,-11,11,-0.201,0.201,2,2,-6,6,0,0,-0.208,0.208,40,91,94
4059,1/8/2022,120,M,16,C,1065,18,83,79,0.37,1345,18,74,76,0.233,30,84,54,0.384,30,87,56,0.684,0,0,-9,9,-3,3,-0.137,0.137,0,0,-3,3,-2,2,-0.3,0.3,42,93,88
4060,10/25/2021,45,M,16,C,1376,32,70,67,0.214,1376,24,70,55,0.19,,,,0,,,,0,-8,8,0,0,-12,12,-0.024,0.024,,,,,,,,,42,93,90
4060,11/9/2021,60,M,16,C,1372,28,83,82,0.313,1366,28,69,81,0.233,34,63,62,0.159,34,72,60,0.288,0,0,-14,14,-1,1,-0.08,0.08,0,0,-9,9,2,2,-0.129,0.129,42,94,95
4060,11/28/2021,75,M,16,C,1083,18,83,74,0.251,1369,16,81,72,0.303,34,74,57,0.388,32,77,53,0.439,-2,2,-2,2,-2,2,0.052,0.052,2,2,-3,3,4,4,-0.051,0.051,42,94,85
4060,12/9/2021,90,M,16,C,1087,16,79,75,0.29,1361,18,67,78,0.319,34,81,65,0.428,32,83,59,0.601,2,2,-12,12,3,3,0.029,0.029,2,2,-2,2,6,6,-0.173,0.173,42,94,85
4060,1/8/2022,120,M,16,C,1082,12,83,74,0.3,1358,12,69,73,0.23,30,89,56,0.745,27,89,51,0.499,0,0,-14,14,-1,1,-0.07,0.07,3,3,0,0,5,5,0.246,0.246,42,94,86
4067,11/9/2021,45,M,10,FR,1366,30,66,71,0.085,1375,28,61,69,0.081,,,,0,,,,0,-2,2,-5,5,-2,2,-0.004,0.004,,,,,,,,,42,91,93
4067,11/24/2021,60,M,10,FR,1089,22,74,73,0.25,1371,24,64,76,0.189,32,57,51,0.07,34,64,49,0.236,2,2,-10,10,3,3,-0.061,0.061,-2,2,-7,7,2,2,-0.166,0.166,42,93,90
4067,12/9/2021,75,M,10,FR,942,20,82,73,0.254,1359,18,75,77,0.172,32,66,55,0.321,30,75,49,0.391,-2,2,-7,7,4,4,-0.082,0.082,2,2,-9,9,6,6,-0.07,0.07,42,94,86
4067,12/24/2021,90,M,10,FR,1345,12,74,74,0.313,1337,12,82,67,0.271,33,78,64,0.658,32,84,58,0.906,0,0,8,8,-7,7,-0.042,0.042,1,1,-6,6,6,6,-0.248,0.248,42,94,87
4067,1/23/2022,120,M,10,FR,1084,12,77,74,0.387,1350,14,66,71,0.27,28,82,56,0.563,28,86,57,0.861,2,2,-11,11,-3,3,-0.117,0.117,0,0,-4,4,-1,1,-0.298,0.298,40,92,90
4070,1/21/2022,45,M,12,C,941,30,77,76,0.19,1345,28,68,73,0.207,40,41,56,0.002,42,45,49,0.003,-2,2,-9,9,-3,3,0.017,0.017,-2,2,-4,4,7,7,-0.001,0.001,42,94,93
4070,2/5/2022,60,M,12,C,1219,24,75,82,0.308,1360,24,68,85,0.213,34,55,63,0.359,34,55,62,0.31,0,0,-7,7,3,3,-0.095,0.095,0,0,0,0,1,1,0.049,0.049,42,88,95
4070,2/20/2022,75,M,12,C,1194,20,78,76,0.168,1339,16,80,70,0.251,34,81,60,0.474,31,78,57,0.407,-4,4,2,2,-6,6,0.083,0.083,3,3,3,3,3,3,0.067,0.067,42,93,90
4070,3/7/2022,90,M,12,C,1028,16,76,77,0.273,1320,12,77,74,0.311,30,80,51,0.739,33,79,61,0.624,-4,4,1,1,-3,3,0.038,0.038,-3,3,1,1,-10,10,0.115,0.115,42,93,90
4070,4/6/2022,120,M,12,C,1032,12,72,71,0.171,1303,12,79,73,0.423,26,89,44,0.682,28,83,56,0.567,0,0,7,7,2,2,0.252,0.252,-2,2,6,6,-12,12,0.115,0.115,42,94,87
4073,1/24/2022,45,M,12,C,930,32,69,65,0.15,1344,25,69,67,0.081,36,66,51,0.015,,,,0,-7,7,0,0,2,2,-0.069,0.069,,,,,,,,,42,94,85
4073,2/8/2022,60,M,12,C,1072,24,80,81,0.323,1349,24,75,76,0.277,34,67,54,0.497,32,70,49,0.267,0,0,-5,5,-5,5,-0.046,0.046,2,2,-3,3,5,5,0.23,0.23,42,90,95
4073,2/23/2022,75,M,12,C,1323,18,74,77,0.283,1332,16,72,69,0.137,38,73,59,0.656,32,70,55,0.461,-2,2,-2,2,-8,8,-0.146,0.146,6,6,3,3,4,4,0.195,0.195,44,94,91
4073,3/12/2022,90,M,12,C,1316,16,81,75,0.33,1334,16,78,71,0.379,34,78,61,0.545,32,84,59,0.751,0,0,-3,3,-4,4,0.049,0.049,2,2,-6,6,2,2,-0.206,0.206,42,94,88
4073,4/9/2022,120,M,12,C,1151,16,83,75,0.351,1299,12,72,73,0.172,28,87,53,0.689,26,89,52,0.739,-4,4,-11,11,-2,2,-0.179,0.179,2,2,-2,2,1,1,-0.05,0.05,39,92,90
4075,2/10/2022,45,M,11,FR,1201,34,63,74,0.304,1347,30,61,71,0.144,,,,0,,,,0,-4,4,-2,2,-3,3,-0.16,0.16,,,,,,,,,42,94,86
4075,2/25/2022,60,M,11,FR,1156,28,73,81,0.264,1312,28,72,77,0.219,34,73,62,0.398,34,73,62,0.485,0,0,-1,1,-4,4,-0.045,0.045,0,0,0,0,0,0,-0.087,0.087,42,93,91
4075,3/12/2022,75,M,11,FR,1190,20,71,85,0.278,1333,22,67,83,0.222,32,73,64,0.429,34,77,68,0.868,2,2,-4,4,-2,2,-0.056,0.056,-2,2,-4,4,-4,4,-0.439,0.439,42,85,100
4075,3/27/2022,90,M,11,FR,1304,16,85,69,0.278,1328,14,77,66,0.223,28,86,48,0.785,30,84,53,0.621,-2,2,-8,8,-3,3,-0.055,0.055,-2,2,2,2,-5,5,0.164,0.164,40,94,81
4075,4/26/2022,120,M,11,FR,1029,14,87,72,0.248,1301,12,73,72,0.229,30,89,57,0.831,29,87,55,0.753,-2,2,-14,14,0,0,-0.019,0.019,1,1,2,2,2,2,0.078,0.078,39,93,85
4076,2/11/2022,45,M,11,FR,1201,28,64,77,0.084,1358,26,47,66,0.058,,,,0,,,,0,-2,2,-17,17,-11,11,-0.026,0.026,,,,,,,,,42,93,95
4076,2/26/2022,60,M,11,FR,1145,16,67,71,0.21,1310,20,51,75,0.197,34,69,61,0.455,30,76,53,0.509,4,4,-16,16,4,4,-0.013,0.013,4,4,-7,7,8,8,-0.054,0.054,42,93,91
4076,3/13/2021,75,M,11,FR,1183,16,76,76,0.37,1333,13,79,75,0.401,32,79,62,0.534,32,79,56,0.738,-3,3,3,3,-1,1,0.031,0.031,0,0,0,0,6,6,-0.204,0.204,42,94,87
4076,3/28/2022,90,M,11,FR,749,10,78,72,0.261,1291,10,75,73,0.189,28,82,53,0.399,28,85,51,0.645,0,0,-3,3,1,1,-0.072,0.072,0,0,-3,3,2,2,-0.246,0.246,40,92,89
4076,4/27/2022,120,M,11,FR,1156,10,77,70,0.377,1285,12,64,75,0.299,30,75,57,0.732,30,78,58,0.92,2,2,-13,13,5,5,-0.078,0.078,0,0,-3,3,-1,1,-0.188,0.188,42,94,85
4086,3/24/2022,45,M,17,FR,1329,32,66,73,0.163,1333,32,59,68,0.089,,,,0,,,,0,0,0,-7,7,-5,5,-0.074,0.074,,,,,,,,,42,92,93
4086,4/8/2022,60,M,17,FR,1296,24,81,73,0.203,1309,24,73,75,0.26,,,,0,32,60,49,0.337,0,0,-8,8,2,2,0.057,0.057,-32,32,-60,60,-49,49,-0.337,0.337,40,92,89
4086,4/23/2022,75,M,17,FR,1300,22,81,76,0.312,1304,22,74,73,0.183,33,71,61,0.52,36,66,62,0.576,0,0,-7,7,-3,3,-0.129,0.129,-3,3,5,5,-1,1,-0.056,0.056,42,92,88
4086,5/8/2022,90,M,17,FR,1119,16,75,75,0.211,1266,15,74,75,0.224,32,83,62,0.651,30,82,61,0.574,-1,1,-1,1,0,0,0.013,0.013,2,2,1,1,1,1,0.077,0.077,42,92,89
